name,song_name,song_subgenre
Spider-Man: Into the Spider-Verse,To the End,"emo, modern rock, pop punk, pov: indie, rock"
Spider-Man: Into the Spider-Verse,Hide,"alt z, pop"
Spider-Man: Into the Spider-Verse,Want It Here,
Spider-Man: Into the Spider-Verse,Start a Riot,alternative r&b
Spider-Man: Into the Spider-Verse,What's Up Danger,nyc rap
Spider-Man: Into the Spider-Verse,Elevate,
Spider-Man: Into the Spider-Verse,Way Up,"pop rap, rap"
Spider-Man: Into the Spider-Verse,Home,"ohio hip hop, pop rap"
Spider-Man: Into the Spider-Verse,Salsa en la Calle,rebel blues
Spider-Man: Into the Spider-Verse,Taut Walk,"library music, light music"
Old Boy,Bring My Love,acoustic pop
Old Boy,Winter,"j-division, korean ost"
Old Boy,Waltz,"classical, compositional ambient, russian modern classical"
Braveheart,,
Toy Story,You've Got a Friend in Me,"chinese classical performance, chinese classical piano, classical performance, classical piano"
Toy Story,Strange Things,japanese r&b
Toy Story,I Will Go Sailing No More,piano cover
Toy Story,Pop Goes the Weasel,"children's music, nursery"
Toy Story,Hakuna Matata,movie tunes
Toy Story,You've Got a Friend in Me,"chinese classical performance, chinese classical piano, classical performance, classical piano"
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492, Act IV, Ah Tutti Contenti ","classical, classical era"
Amadeus,"Don Giovanni, K. 527, A Cenar Teco, Da Qual Tremore Insolito... ","classical, classical era"
Amadeus,"Axur, Re d'Ormus: Finale ","instrumental progressive metal, progressive jazz fusion"
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384, Marten Aller Arten ","classical, classical era"
Amadeus,"Die Zauberflöte (The Magic Flute), K. 620, Aria No. 14, Der Holle Rache Kocht ","classical, classical era"
Amadeus,"Concerto for Piano in E Flat Major, K. 482, 3rd Movement, Allegro ","classical, classical era"
Amadeus,"Concerto for Piano in D Minor, K. 466 ","classical, classical era"
Amadeus,"Symphony No. 25 in G Minor, K. 183: 1st Movement ","classical, classical era"
Amadeus,"Lacrimosa, Requiem Mass in D, K. 626 ","classical, classical era"
Amadeus,"Harpsichord Piece in F Major, K. 33B ","classical, classical era"
Amadeus,Caro Mio Ben,
Amadeus,"Adagio and Rondo for Glass Harmonica, Flute, Oboe, Viola and Cello, K. 617 ","classical, classical era"
Amadeus,"Confutatis, Requiem Mass in D, K. 626 ","classical, classical era"
Amadeus,Serenade K. 361 Gran Partita for 13 Wind Instruments: Adagio,"classical, classical era"
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492: Act 1 - Non Più Andrai (Overture) ","classical, classical era"
Amadeus,"A Little Night Music Serenade in G for Strings 'Eine Kleine Nachtmusik', K. 525, 1st Movement ","classical, classical era"
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384: Turkish Finale ","classical, classical era"
Amadeus,"Mass in C Minor, K. 427: Kyrie ","classical, classical era"
Amadeus,"Concerto for Flute and Harp, K. 299 2nd Movement ","classical, classical era"
Amadeus,"Allegro Moderato from Symphony No. 29 in A Major, K. 201 ","austrian orchestra, chamber orchestra"
Amadeus,Concerto No. 10 for Two Pianos and Orchestra in E-Flat Minor (K. 365) 3rd Movement,"classical, classical era"
Amadeus,"Allegro Maestoso from Sinfonia Concertante for Violin, Viola, and Orchestra in E-flat Major, K. 364 ","classical, classical era"
Amadeus,"Piano Concerto No. 15 in B-Flat, K. 450: III. Allegro ","classical, classical era"
Amadeus,Ich Möchte Wohl Der Kaiser Sein (K539),"classical, classical era"
Amadeus,Die Zauberflöte (The Magic Flute) Act 2 - Pa-Pa-Pa-Pa-Pa-Pa-Papagena!,"classical, classical era"
Amadeus,Die Zauberflöte (The Magic Flute) Act 2 - Ein Mädchen Oder Weibchen,"classical, classical era"
Amadeus,"Six German Dances, K. 509: No. 1 in D Major ","classical, classical era"
Amadeus,"Don Giovanni, K. 527: Overture ","classical, classical era"
Amadeus,"Axur, Re d'Ormus: Act IV: Son Queste Le Speranze ","classical, impressionism, neoclassicism, post-romantic era"
Amadeus,"Rex Tremendae Majestatis, Requiem, K. 626 ","orchestra, symfonicky orchestr"
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act I: Duettino: Cinque...Dieci...Venti ","classical, classical era"
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act I, Singt dem Grossen Bassa Lieder ","classical, classical era"
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act III: Finale: Amanti Costanti (Ecco la Marcia) ","classical, classical era"
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act II: Duet: Vivat Bacchus! Bacchus Lebe! ","classical, classical era"
Amadeus,"Die Zauberflöte (The Magic Flute), K. 620/Act I: Overture ","classical, classical era"
Amadeus,"Dies Irae, Requiem Mass in D, K. 626 ","classical, classical era"
Amadeus,"Introitus, Requiem Mass in D, K. 626 ","classical, classical era"
Amadeus,"Don Giovanni, K. 527: Act II, Commendatore Scene ","classical, classical era"
Amadeus,"Don Giovanni, K. 527: Act I, La Ci Darem La Mano ","classical, classical era"
Amadeus,Bubak and Hungaricus,"gregorian chant, puirt-a-beul"
Amadeus,Stabat Mater; Quando Corpus Morietur and Amen,"classical, classical era"
Coco,Remember Me,movie tunes
Coco,Everyone Knows Juanita,movie tunes
Coco,Un Poco Loco,acoustic guitar cover
Coco,Proud Corazón,movie tunes
Coco,The World Es Mi Familia,movie tunes
Coco,Allá en el Rancho Grande,"bolero, bolero mexicano, mariachi, ranchera"
Coco,La Llorona,movie tunes
Coco,Ciudad Victoria,"mariachi, mariachi cristiano, ranchera"
Coco,Dora's Dance,"cartoon, children's music"
Coco,La Petenera,mariachi
Coco,La Zandunga,"chilena, musica costena"
Coco,Jálale,
Coco,"Hoy No Fío, Mañana Sí ",
Coco,Remember Me (Dúo),"r&b, urban contemporary"
Coco,Much Needed Advice,movie tunes
Inglourious Basterds,The Green Leaves of Summer,easy listening
Inglourious Basterds,The Verdict,"british soundtrack, soundtrack"
Inglourious Basterds,L'incontro Con La Figlia,
Inglourious Basterds,White Lightning (Main Title),"classic country pop, country, country rock, honky tonk"
Inglourious Basterds,Il Mercenario (Ripresa),"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Inglourious Basterds,Slaughter,gym phonk
Inglourious Basterds,Algeri: 1 Novembre 1954 (Battle of Algiers),"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Inglourious Basterds,The Surrender,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Inglourious Basterds,One Silver Dollar,vintage hollywood
Inglourious Basterds,Hound Chase (Intro),
Inglourious Basterds,Al di là della legge,"italian soundtrack, vintage italian soundtrack"
Inglourious Basterds,Bath Attack,
Inglourious Basterds,Claire's First Appearence,"dark rock, dark wave, gothic rock"
Inglourious Basterds,The Fight,"contemporary country, country, country road, modern country rock"
Inglourious Basterds,Davon geht die Welt nicht unter,vintage schlager
Inglourious Basterds,The Man with the Big Sombrero,lounge
Inglourious Basterds,Ich wollt ich waer ein Huhn,
Inglourious Basterds,Main Theme,"chiptune, japanese classical, japanese vgm, orchestral soundtrack, video game music"
Inglourious Basterds,Cat People (Putting Out the Fire),"art rock, classic rock, glam rock, permanent wave, rock"
Inglourious Basterds,Mystic and Severe,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Inglourious Basterds,The Devil's Rumble,"deep surf music, surf music"
Inglourious Basterds,What'd I Say,"adult standards, classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz"
Inglourious Basterds,Zulus,"classic soundtrack, soundtrack"
Inglourious Basterds,Tiger Tank,"bubblegrunge, indie punk, new england emo, slacker rock, western mass indie"
Inglourious Basterds,Eastern Condors,
Inglourious Basterds,Un Amico,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Inglourious Basterds,Rabbia e Tarantella,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
The Boat,La Paloma,
The Boat,J'Attendrai,
The Boat,It's a Long Way to Tipperary,"jazz piano, space age pop"
The Boat,Erzherzog-Albretch-Marsch,"blaskapelle, musikkorps"
The Boat,Sing Nachtigall Sing,vintage schlager
The Boat,Heimat deine Sterne,
The Boat,Mon Gars,"french hip hop, french pop, pop urbaine, rap conscient"
The Boat,Westerwaldlied,oktoberfest
The Boat,Muss i' denn zum Städtele hinaus,piano cover
The Boat,Parlez-moi d'Amour,vintage chanson
The Boat,Varsity Rag,
Avengers: Endgame,Dear Mr. Fantasy,"blues rock, british blues, classic rock, country rock, folk rock, mellow gold, progressive rock, psychedelic rock"
Avengers: Endgame,Ant-Man Theme,"canadian soundtrack, soundtrack"
Avengers: Endgame,Let's Go,"funk, funk rock, minneapolis sound, rock, synth funk"
Avengers: Endgame,Supersonic Rocket Ship,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter"
Avengers: Endgame,Doom and Gloom,"album rock, british invasion, classic rock, rock"
Avengers: Endgame,Doctor Strange Theme,
Avengers: Endgame,Hey Lawdy Mama,"acid rock, album rock, blues rock, classic canadian rock, classic rock, hard rock, proto-metal, rock, singer-songwriter, soft rock"
Avengers: Endgame,Come and Get Your Love,"native american contemporary, native american traditional"
Avengers: Endgame,"It's Been a Long, Long Time ",torch song
Avengers: Endgame,La Cucaracha,
Avengers: Endgame,Captain Marvel Theme,sillycore
Avengers: Endgame,Make Way For Tomorrow Today,
Princess Mononoke,Mononoke-Hime/Princess Mononoke Theme Song,
Princess Mononoke,Princess Mononoke Theme Song (Mononoke-Hime),
Princess Mononoke,The Tatara Women Work Song (Tatara Fumu Onnatachi),"anime score, japanese vgm"
Once Upon a Time in America,God Bless America,"contemporary country, country, country dawn, country road"
Once Upon a Time in America,'Summertime' from 'Porgy and Bess',"american modern classical, classical, early modern classical, tin pan alley"
Once Upon a Time in America,Night and Day,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
Once Upon a Time in America,Yesterday,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Once Upon a Time in America,Amapola,"bachata, latin pop, tropical"
Once Upon a Time in America,La Gazza Ladra,"classical, italian opera, italian romanticism"
Once Upon a Time in America,St. James Infirmary Blues,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
Once Upon a Time in America,Cockeye's Song/Childhood Memories,lo-fi sleep
Once Upon a Time in America,Poverty,"east coast hip hop, hip hop, new jersey rap"
Good Will Hunting,Big Strong Man,"celtic punk, celtic rock"
Good Will Hunting,If I Had the Last Dream in the World,"adult standards, vocal jazz"
Good Will Hunting,Baker Street,"art rock, classic rock, folk rock, mellow gold, soft rock"
Good Will Hunting,Room,singer-songwriter pop
Good Will Hunting,Boys Better,"alternative rock, dance-punk"
Good Will Hunting,We Still Need More Than Anyone Can Give,"alternative rock, britpop, oxford indie"
Good Will Hunting,No Name #3,"alternative rock, indie rock, melancholia, singer-songwriter"
Good Will Hunting,Runaway,"art pop, norwegian pop"
Good Will Hunting,Why Do I Lie?,"alternative pop, lilith"
Good Will Hunting,"Grand Sonata in B-Flat Major, Op. 30/D.617 ","classical, early romantic era, polish classical"
Good Will Hunting,Somebody's Baby,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock"
Good Will Hunting,"Six Grandes Marches, Op. 40/D.819, No. 5 ","classical, classical era, early romantic era"
Good Will Hunting,Say Yes,"art pop, pop"
Good Will Hunting,As the Rain,"rain, sound"
Good Will Hunting,People,"pop, post-teen pop"
Good Will Hunting,Between the Bars,"alternative rock, indie rock, melancholia, singer-songwriter"
Good Will Hunting,Handle on My Heart,"cloud rap, dark trap, new orleans rap, underground hip hop"
Good Will Hunting,Fisherman's Blues,"celtic rock, irish rock, scottish new wave, scottish rock"
Good Will Hunting,How Can You Mend a Broken Heart,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul"
Good Will Hunting,Tommy Bhetty's Waltz,
Good Will Hunting,Angeles,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical"
Good Will Hunting,Heart & Soul,"baton rouge rap, rap"
Good Will Hunting,Danny Boy,irish ballad
Good Will Hunting,Miss Misery,"alternative rock, indie rock, melancholia, singer-songwriter"
Good Will Hunting,Afternoon Delight,soft rock
Toy Story 3,We Belong Together,"dance pop, pop, urban contemporary"
Toy Story 3,You've Got A Friend In Me,
Toy Story 3,You've Got A Friend In Me (para Buzz Español),"flamenco, rumba, world"
Toy Story 3,Dream Weaver,"album rock, classic rock, soft rock, yacht rock"
Toy Story 3,Le Freak,"disco, funk, motown, soul"
Requiem for a Dream,Bialy & Lox Conga,"british soundtrack, compositional ambient, soundtrack"
Requiem for a Dream,Bugs' Got a Devilish Grin Conga,"british soundtrack, compositional ambient, soundtrack"
Requiem for a Dream,Summer Overture,"british soundtrack, compositional ambient, soundtrack"
3 Idiots,Aal Izz Well,"filmi, modern bollywood"
3 Idiots,Zoobi Doobi,"filmi, modern bollywood"
3 Idiots,Behti Hawa Sa Tha Woh,"filmi, modern bollywood"
3 Idiots,Give Me Some Sunshine,"filmi, modern bollywood"
3 Idiots,Jaane Nahin Denge Tujhe,"filmi, modern bollywood"
3 Idiots,Zoobi Doobi - Remix,"filmi, modern bollywood"
3 Idiots,Aal Izz Well - Remix,"filmi, modern bollywood"
Your Name.,Yumetourou (Dream Lanturn),"indie game soundtrack, otacore, pixel"
Your Name.,Zen Zen Zense,
Your Name.,Sparkle,"j-pop, j-rock, visual kei"
Your Name.,Nande mo naiya (It's Nothing),rare groove
Singin' in the Rain,Fit as a Fiddle,"adult standards, vintage hollywood"
Singin' in the Rain,Temptation,"alternative r&b, indie soul"
Singin' in the Rain,All I Do Is Dream of You,"adult standards, canadian pop, jazz pop, lounge"
Singin' in the Rain,Make 'em Laugh,cartoon
Singin' in the Rain,I've Got a Feelin' You're Foolin',
Singin' in the Rain,The Wedding of the Painted Doll,trad jazz catala
Singin' in the Rain,Should I?,"alternative rock, permanent wave, punk, rock"
Singin' in the Rain,Beautiful Girl,"dance pop, miami hip hop, pop"
Singin' in the Rain,You Were Meant For Me,"alaska indie, ectofolk, lilith, permanent wave, pop rock, singer-songwriter"
Singin' in the Rain,Moses Supposes,
Singin' in the Rain,Good Morning,"chicago rap, hip hop, rap"
Singin' in the Rain,Singin' in the Rain,"adult standards, vintage hollywood"
Singin' in the Rain,Would You,"contemporary country, country, country road"
Singin' in the Rain,Broadway Rhythm Ballet,ballet class
Singin' in the Rain,Singin in the Rain (in A-Flat),"adult standards, easy listening, vintage hollywood"
Singin' in the Rain,You Are My Lucky Star,"adult standards, easy listening, lounge, vocal jazz"
Singin' in the Rain,Main Title,movie tunes
Singin' in the Rain,Dignity,
Singin' in the Rain,Stunt Montage,"classic soundtrack, vintage broadway"
Singin' in the Rain,First Silent Picture,"classic soundtrack, vintage broadway"
Singin' in the Rain,Gene Dreams of Kathy,"classic soundtrack, vintage broadway"
Singin' in the Rain,Good Night Kathy,"classic soundtrack, vintage broadway"
Singin' in the Rain,From Dueling to Dancing,"classic soundtrack, vintage broadway"
Singin' in the Rain,Would You? (End Title),"adult standards, vintage hollywood"
Singin' in the Rain,March: News of the Day,
Star Wars: Episode VI - Return of the Jedi,Lapti Nek,"orchestral soundtrack, soundtrack"
Star Wars: Episode VI - Return of the Jedi,Ewok Celebration,"orchestral soundtrack, soundtrack"
Star Wars: Episode VI - Return of the Jedi,Jedi Rocks,"anime lo-fi, lo-fi cover, lo-fi vgm"
Reservoir Dogs,Little Green Bag,nederpop
Reservoir Dogs,Stuck in the Middle with You,folk rock
Reservoir Dogs,I Gotcha,
Reservoir Dogs,Fool for Love,"indie folk, stomp and holler"
Reservoir Dogs,Hooked on a Feeling,classic swedish pop
Reservoir Dogs,Coconut,sillycore
Reservoir Dogs,Harvest Moon,"canadian singer-songwriter, classic canadian rock, classic rock, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter"
Reservoir Dogs,Magic Carpet Ride,"acid rock, album rock, blues rock, classic canadian rock, classic rock, hard rock, proto-metal, rock, singer-songwriter, soft rock"
Reservoir Dogs,Wes Turned Country,"classic country pop, country, country rock, honky tonk"
Reservoir Dogs,Country's Cool,"contemporary country, modern country pop"
Reservoir Dogs,It's Country,"contemporary country, country, country road, modern country rock"
Eternal Sunshine of the Spotless Mind,Everybody's Gotta Learn Sometime,"alternative rock, anti-folk, permanent wave, rock, slacker rock"
Eternal Sunshine of the Spotless Mind,Something,pop
Eternal Sunshine of the Spotless Mind,Keep On Looking,"black americana, funk, retro soul, soul"
Eternal Sunshine of the Spotless Mind,Tere Sang Pyar Main,"classic bollywood, filmi, lata"
Eternal Sunshine of the Spotless Mind,Mere Man Tera Pyasa,"classic bollywood, filmi"
Eternal Sunshine of the Spotless Mind,"Concerto No. 8 in D Major, Opus 99 ","classical, classical era, early romantic era"
Eternal Sunshine of the Spotless Mind,Wada Na Tod,"classic bollywood, filmi, lata"
Eternal Sunshine of the Spotless Mind,Some Kinda Shuffle,"album rock, blues rock, classic rock, country rock, hard rock, mellow gold, rock, singer-songwriter, soft rock"
Eternal Sunshine of the Spotless Mind,Nola's Bounce,
Eternal Sunshine of the Spotless Mind,Light And Day/Reach For The Sun,
Eternal Sunshine of the Spotless Mind,"Oh My Darling, Clementine ",
Eternal Sunshine of the Spotless Mind,Row Row Row Your Boat,
Eternal Sunshine of the Spotless Mind,Mr. Blue Sky,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock"
2001: A Space Odyssey,Gayane Ballet Suite -- Gayane's Adagio,"caucasian classical, classical, early modern classical, russian modern classical"
2001: A Space Odyssey,Atmospheres,
2001: A Space Odyssey,Lux Aeterna,"british soundtrack, compositional ambient, soundtrack"
2001: A Space Odyssey,Requiem,"classical, classical era"
2001: A Space Odyssey,The Blue Danube,
2001: A Space Odyssey,Thus Spoke Zarathustra,
2001: A Space Odyssey,Adventures,pop
2001: A Space Odyssey,Happy Birthday to You,children's music
2001: A Space Odyssey,Off Beats Mood,"binaural, brain waves"
2001: A Space Odyssey,Daisy Bell (A Bicycle Built for Two),
High and Low,The Magic Begins,"classical, late romantic era, russian romanticism"
High and Low,It's Now or Never,"rock-and-roll, rockabilly"
High and Low,Die Forelle,"classical, classical era, early romantic era"
High and Low,"Forellenquintett (Trout Quintet), 4th movement ",
Citizen Kane,It Can't Be Love,scottish indie
Citizen Kane,Una voce poco fa,"classical soprano, opera"
Citizen Kane,A Poco No,
Citizen Kane,Funeral March,"classical, early romantic era, polish classical"
Citizen Kane,A Hot Time in the Old Town,jazz double bass
Citizen Kane,The Battle Cry of Freedom,"marching band, military band"
Citizen Kane,The Girl I Left Behind Me,"bluegrass gospel, country boogie, country gospel, western swing, yodeling"
Citizen Kane,In A Mizz,"environmental, sleep, sound, water"
Citizen Kane,"Song Without Words, Op. 62 No.3 (Funeral March) ","classical, early romantic era, german romanticism"
Citizen Kane,Aria from Salammbo,classic soundtrack
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Theme,"adult standards, easy listening, lounge"
Citizen Kane,Charlie Kane,"breakbeat, nu skool breaks"
Citizen Kane,Pilgrim's Chorus,"classical, german opera, german romanticism, late romantic era"
Capernaum,,
Lawrence of Arabia,The Man Who Broke the Bank at Monte Carlo,music hall
Lawrence of Arabia,Overture,
Lawrence of Arabia,Main Title,"orchestral soundtrack, soundtrack"
Lawrence of Arabia,Miracle,"indietronica, metropopolis, neo-synthpop, shimmer pop"
Lawrence of Arabia,Nefud Mirage,"british orchestra, orchestra"
Lawrence of Arabia,Rescue of Gasim,"british orchestra, orchestra"
Lawrence of Arabia,Brining Gasim Into Camp,
Lawrence of Arabia,Arrival At Auda's Camo,"british orchestra, orchestra"
Lawrence of Arabia,The Voice Of The Guns,"british orchestra, orchestra"
Lawrence of Arabia,In Whose Name Do You Ride?,"hard rock, metal, old school thrash, rock, thrash metal"
Lawrence of Arabia,Continuation Of The Mircal,lds
Lawrence of Arabia,Sun's Anvil,video game music
Lawrence of Arabia,Lawrence And Bodyguard,"classic soundtrack, french soundtrack"
Lawrence of Arabia,That Is The Desert,"british orchestra, orchestra"
Lawrence of Arabia,End Title,"british soundtrack, orchestral soundtrack, soundtrack"
M,Le Halle du Roi de la Montagne,"baroque, classical, early music, italian baroque"
M,La Marseillaise,french romanticism
North by Northwest,It's a Most Unusual Day,"adult standards, easy listening"
North by Northwest,I've Grown Accustomed to Her Face,"baroque pop, chamber pop, chicago indie, indie rock, melancholia, stomp and holler"
North by Northwest,Singin' in the Rain,"adult standards, vintage hollywood"
The Hunt,Moondance,"classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock"
The Hunt,Julen har bragt velsignet bud,
The Hunt,Jingle Bells,"children's music, nursery"
The Hunt,Mit Hjerte altid vanker,danish contemporary classical
The Hunt,In the Bleak Midwinter,ambient lo-fi
The Hunt,I Was Not To You What You Were To Me,"swedish americana, swedish singer-songwriter"
The Hunt,Es ist ein Ros' entsprungen,"gregorian chant, puirt-a-beul"
The Hunt,A Child Is Born in Bethlehem,choral
Vertigo,"Symphony No. 34 in C K. 338, 2nd Movement, Andante di Molto (piu tosto allegretto) ","classical, classical era"
Vertigo,Sardis #4,
Amélie,Les Jours Tristes (instrumental),"compositional ambient, french soundtrack"
Amélie,Naomi,worship
Amélie,Whispering,modern alternative rock
Amélie,Adagio pour cordes,
Amélie,With a Song in My Heart,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
Amélie,Guilty,pop
Amélie,Sweet and Lovely,background jazz
Amélie,Dancing in the Dark,"barbadian pop, pop, urban contemporary"
Amélie,Ciribiribin,italian mandolin
Amélie,Fire,"pop, uk pop"
Amélie,Brouillard,"classical, impressionism, post-romantic era"
Amélie,Got a Date with an Angel,british dance band
Amélie,Father's Little Dividend,
Amélie,Rose du Sud,ballroom
Amélie,Si tu n'Étais pas là,
Amélie,Générique journal télévisé,
Amélie,The Child,"downtempo, gregorian dance"
Amélie,Up Above My Head,gospel
A Clockwork Orange,"Symphony No.9 in D Minor, Opus 125 Choral: II. Scherzo. Molto vivace ","classical, classical era, early romantic era, german romanticism"
A Clockwork Orange,The Thieving Magpie (Overture),"british orchestra, classical, orchestra"
A Clockwork Orange,Molly Malone,"celtic, irish folk"
A Clockwork Orange,William Tell (Overture),"classical, italian opera, italian romanticism"
A Clockwork Orange,I Want to Marry a Lighthouse Keeper,
A Clockwork Orange,Singin' In the Rain,"adult standards, vintage hollywood"
A Clockwork Orange,Overture to the Sun,psychedelic folk
A Clockwork Orange,March from 'Funeral Music for Queen Mary',
A Clockwork Orange,Pomp and Circumstance Marches No.1 and 4,"british modern classical, classical, late romantic era, victorian britain"
A Clockwork Orange,Orange Minuet,"traditional british folk, traditional english folk"
A Clockwork Orange,The Sea And Sinbad's Ship,"avant-garde, classical, early modern classical, late romantic era, russian romanticism"
A Clockwork Orange,Biblical Daydreams,
A Clockwork Orange,Timesteps,
A Clockwork Orange,Country Lane,
Full Metal Jacket,Hello Vietnam,
Full Metal Jacket,These Boots Are Made For Walkin',"lounge, sunshine pop"
Full Metal Jacket,Wooly Bully,"bubblegum pop, classic garage rock, merseybeat, rock-and-roll, surf music"
Full Metal Jacket,The Marines Hymn,"american romanticism, concert band"
Full Metal Jacket,Chapel Of Love,"classic girl group, doo-wop, rock-and-roll"
Full Metal Jacket,Surfin' Bird,"classic garage rock, protopunk, surf music"
Full Metal Jacket,"Paint It, Black ","album rock, british invasion, classic rock, rock"
Full Metal Jacket,Mickey Mouse Club March,"cartoon, children's music, movie tunes"
Full Metal Jacket,Happy Birthday,
Scarface,Scarface (Push It to the Limit),
Scarface,Rush Rush,"dance pop, new wave pop, soft rock"
Scarface,Turn Out the Night,"deep soft rock, yacht rock"
Scarface,Vamos a Bailar,"banda, banda jalisciense, musica mexicana, tecnobanda"
Scarface,Tony's Theme,"alternative rock, boston rock, permanent wave, rock"
Scarface,She's on Fire,"neo mellow, pop rock"
Scarface,Shake It Up,"melodic rap, rap, trap"
Scarface,Dance Dance Dance,"alternative r&b, escape room, indie soul, lgbtq+ hip hop"
Scarface,I'm Hot Tonight,
Scarface,Gina's and Elvira's Theme,disco
Scarface,Strangers in the Night,"adult standards, easy listening, lounge"
Come and See,Die Walküre,"classical, german opera, german romanticism, late romantic era"
Come and See,Lacrimosa,"classical, classical era"
Come and See,The Sacred War,"musique militaire, russian folk"
Come and See,Korobeiniki,"russian folk, russian romance"
Come and See,Im Wald im grünen Walde,"alpine yodeling, volksmusik"
Come and See,Blue Danube,"british orchestra, classical, orchestra"
Come and See,Tannhäuser,"classical, german opera, german romanticism, late romantic era"
Come and See,Moya Marusitschka,
Double Indemnity,Tangerine,uk pop
Double Indemnity,My Ideal,"cool jazz, jazz, jazz trumpet, vocal jazz"
Double Indemnity,"Symphony No 8 in B minor, Unfinished ","classical, classical era, early romantic era"
The Apartment,Adeste Fideles (O Come All Ye Faithful),canadian pop
The Apartment,"Capriccio Italien, Op. 45 ","classical, late romantic era, russian romanticism"
The Apartment,Jealous Lover,"album rock, classic rock, glam metal, hard rock, metal, rock"
The Apartment,Auld Lang Syne,"acoustic pop, ectofolk, lilith, neo mellow"
The Apartment,Magdalena,"bossa nova, brazilian jazz, samba"
The Apartment,Lonely Room,
The Apartment,There is a Tavern in the Town,"adult standards, lounge, soul, swing, vocal jazz"
The Apartment,Little Brown Jug,big band
The Apartment,Jingle Bells,"children's music, nursery"
Taxi Driver,Late For The Sky,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock"
Taxi Driver,Hold Me Close,"glam rock, mellow gold, piano rock, rock"
Taxi Driver,"The Pilgrim, Chapter 33 ","country, country rock, outlaw country, singer-songwriter"
Taxi Driver,Ling Ting Tong,"doo-wop, rhythm and blues, vocal harmony group"
To Kill a Mockingbird,,
Up,Habanera,"classical, french opera, french romanticism, late romantic era"
Up,The Spirit of Adventure,"orchestral soundtrack, soundtrack"
The Sting,Easy Winners,"african-american classical, american modern classical, post-romantic era, ragtime"
The Sting,The Entertainer,"african-american classical, american modern classical, post-romantic era, ragtime"
The Sting,Gladiolus Rag,"african-american classical, american modern classical, post-romantic era, ragtime"
The Sting,Pineapple Rag,"broadway, classic soundtrack"
The Sting,Rag Time Dance,"african-american classical, american modern classical, post-romantic era, ragtime"
The Sting,Solace,
The Sting,Listen to the Mockingbird,"banjo, bluegrass"
The Sting,The Washington Post,"concert band, military band, wind symphony"
The Sting,The Cascades,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler"
L.A. Confidential,Ac-cent-tchu-ate the Positive,"adult standards, easy listening, lounge"
L.A. Confidential,Oh! Look at Me Now,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
L.A. Confidential,Silent Night,"adult standards, easy listening, lounge"
L.A. Confidential,Silver Bells,"adult standards, easy listening, lounge"
